Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards,,Players
1992,25,PIT,NL,8,1,0.889,2.15,13,13,0,4,1,0,92,76,26,22,3,35,1,51,1,1,3,373,162,3.27,1.207,7.4,0.3,3.4,5,1.46,RoY-3,,Tim Wakefield
1993,26,PIT,NL,6,11,0.353,5.61,24,20,1,3,2,0,128.1,145,83,80,14,75,2,59,9,0,6,595,72,5.45,1.714,10.2,1,5.3,4.1,0.79,,,Tim Wakefield
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tim Wakefield
1995,28,BOS,AL,16,8,0.667,2.95,27,27,0,6,1,0,195.1,163,76,64,22,68,0,119,9,0,11,804,165,4.53,1.183,7.5,1,3.1,5.5,1.75,CYA-3MVP-13,,Tim Wakefield
1996,29,BOS,AL,14,13,0.519,5.14,32,32,0,6,0,0,211.2,238,151,121,38,90,0,140,12,1,4,963,98,5.63,1.55,10.1,1.6,3.8,6,1.56,,,Tim Wakefield
1997,30,BOS,AL,12,15,0.444,4.25,35,29,2,4,2,0,201.1,193,109,95,24,87,5,151,16,0,6,866,110,4.69,1.391,8.6,1.1,3.9,6.8,1.74,,,Tim Wakefield
1998,31,BOS,AL,17,8,0.68,4.58,36,33,1,2,0,0,216,211,123,110,30,79,1,146,14,1,6,939,103,4.88,1.343,8.8,1.3,3.3,6.1,1.85,,,Tim Wakefield
1999,32,BOS,AL,6,11,0.353,5.08,49,17,28,0,0,15,140,146,93,79,19,72,2,104,5,0,1,635,99,5.06,1.557,9.4,1.2,4.6,6.7,1.44,,,Tim Wakefield
2000,33,BOS,AL,6,10,0.375,5.48,51,17,13,0,0,0,159.1,170,107,97,31,65,3,102,4,0,4,706,93,5.68,1.475,9.6,1.8,3.7,5.8,1.57,,,Tim Wakefield
2001,34,BOS,AL,9,12,0.429,3.9,45,17,5,0,0,3,168.2,156,84,73,13,73,5,148,18,1,5,732,115,3.91,1.358,8.3,0.7,3.9,7.9,2.03,,,Tim Wakefield
2002,35,BOS,AL,11,5,0.688,2.81,45,15,10,0,0,3,163.1,121,57,51,15,51,2,134,9,2,5,657,162,3.62,1.053,6.7,0.8,2.8,7.4,2.63,,,Tim Wakefield
2003,36,BOS,AL,11,7,0.611,4.09,35,33,2,0,0,1,202.1,193,106,92,23,71,0,169,12,0,8,872,114,4.07,1.305,8.6,1,3.2,7.5,2.38,,,Tim Wakefield
2004,37,BOS,AL,12,10,0.545,4.87,32,30,0,0,0,0,188.1,197,121,102,29,63,3,116,16,0,9,831,99,5.08,1.381,9.4,1.4,3,5.5,1.84,,,Tim Wakefield
2005,38,BOS,AL,16,12,0.571,4.15,33,33,0,3,0,0,225.1,210,113,104,35,68,4,151,11,0,8,943,109,4.75,1.234,8.4,1.4,2.7,6,2.22,,,Tim Wakefield
2006,39,BOS,AL,7,11,0.389,4.63,23,23,0,1,0,0,140,135,80,72,19,51,0,90,10,0,6,610,103,4.93,1.329,8.7,1.2,3.3,5.8,1.76,,,Tim Wakefield
2007,40,BOS,AL,17,12,0.586,4.76,31,31,0,0,0,0,189,191,104,100,22,64,1,110,4,0,10,800,100,4.67,1.349,9.1,1,3,5.2,1.72,,,Tim Wakefield
2008,41,BOS,AL,10,11,0.476,4.13,30,30,0,1,0,0,181,154,89,83,25,60,0,117,13,0,12,754,112,4.84,1.182,7.7,1.2,3,5.8,1.95,,,Tim Wakefield
2009,42,BOS,AL,11,5,0.688,4.58,21,21,0,2,0,0,129.2,137,67,66,12,50,0,72,10,0,4,572,102,4.58,1.442,9.5,0.8,3.5,5,1.44,AS,,Tim Wakefield
2010,43,BOS,AL,4,10,0.286,5.34,32,19,10,0,0,0,140,153,92,83,19,36,3,84,5,1,11,610,82,4.52,1.35,9.8,1.2,2.3,5.4,2.33,,,Tim Wakefield
2011,44,BOS,AL,7,8,0.467,5.12,33,23,6,1,0,0,154.2,163,110,88,25,47,1,93,8,1,15,677,84,4.99,1.358,9.5,1.5,2.7,5.4,1.98,,,Tim Wakefield
19 Yrs,19 Yrs,19 Yrs,19 Yrs,200,180,0.526,4.41,627,463,78,33,6,22,3226.1,3152,1791,1582,418,1205,33,2156,186,8,134,13939,105,4.72,1.35,8.8,1.2,3.4,6,1.79,,,Tim Wakefield
162 Game Avg.\pitch_glossary.shtml#162_avg,162 Game Avg.\pitch_glossary.shtml#162_avg,162 Game Avg.\pitch_glossary.shtml#162_avg,162 Game Avg.\pitch_glossary.shtml#162_avg,12,11,0.526,4.41,39,29,5,2,0,1,201,197,112,99,26,75,2,135,12,0,8,870,105,4.72,1.35,8.8,1.2,3.4,6,1.79,,,Tim Wakefield
BOS (17 yrs),BOS (17 yrs),BOS (17 yrs),BOS (17 yrs),186,168,0.525,4.43,590,430,77,26,3,22,3006,2931,1682,1480,401,1095,30,2046,176,7,125,12971,106,4.74,1.339,8.8,1.2,3.3,6.1,1.87,,,Tim Wakefield
PIT (2 yrs),PIT (2 yrs),PIT (2 yrs),PIT (2 yrs),14,12,0.538,4.17,37,33,1,7,3,0,220.1,221,109,102,17,110,3,110,10,1,9,968,91,4.54,1.502,9,0.7,4.5,4.5,1,,,Tim Wakefield
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tim Wakefield
AL (17 yrs),AL (17 yrs),AL (17 yrs),AL (17 yrs),186,168,0.525,4.43,590,430,77,26,3,22,3006,2931,1682,1480,401,1095,30,2046,176,7,125,12971,106,4.74,1.339,8.8,1.2,3.3,6.1,1.87,,,Tim Wakefield
NL (2 yrs),NL (2 yrs),NL (2 yrs),NL (2 yrs),14,12,0.538,4.17,37,33,1,7,3,0,220.1,221,109,102,17,110,3,110,10,1,9,968,91,4.54,1.502,9,0.7,4.5,4.5,1,,,Tim Wakefield
